월,일,커뮤니티,타사명/키워드,제목,본문(내용),URL
3,6,디시인사이드,러셀,이게 내 잘못인가,"잇올 다니다 엄마 권유로 러셀 입반함 (의치)
그렇다고 쳐놀기는 커녕 5시 50~6시쯤 일어나서
버스타고 1시간 걸려 러셀 가서
10시까지 공부하고 11시쯤 집와서 3-40분 쉬고 자는데
너는 내년에도 수능볼거다
내년에도 수험생일거다 하면서 아빠가 소리지름..
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10694497
3,6,디시인사이드,러셀,아빠가 나한테 내년에도 수능보라 하네,"진짜 너무한다..
대성 다니다 엄마 권유로 러셀 다니는 중인데
그렇게 해선 내년에도 수험생일거다 뭐다
내가 놀긴 커녕 일주일 내내 6시기상 - 10시에 끝내고
집와서 푹 자기만 하는 중인데 진짜 왜 그렇게 말하시지
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=295292
3,6,디시인사이드,러셀,김기현 들을거면 그냥 러셀 가는게 낫지 않냐,쩝,https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=252101
3,6,디시인사이드,러셀,러셀중계 6~7등급도 받아주냐..,그린?블루?였나 암튼 제일 낮은반으로 들어가고싶은데 받아주긴하냐 ㅅㅂ,https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46873
3,6,디시인사이드,러셀,러셀 서의치 연고대반 바자관 무료일려면 의무시수 몇시간 충족해야 하냐,"ㅇㅇ
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10693040
3,6,디시인사이드,러셀,아좆같다,재수초반러셀다닐때같은기분드네,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10691536
3,6,디시인사이드,러셀,러셀평촌 담배팟 모집,형 너무 외롭다,https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46859
3,6,디시인사이드,대성,수학은 인강 필수인가,"메가 대성 너무 비싼데
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10694351
3,6,디시인사이드,대성,대성재종에서 새로e 유명했음?,홍지운이 이거 인강 독점이라는데,https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=295267
3,6,디시인사이드,대성,문학 인강,"메가 대성 합쳐서 인강중에
문학한정
누가 ㄱㅊ음?
3-4등급이 듣는다 할때",https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=295258
3,6,디시인사이드,대성,큰일을 봤으면 손을 쫌 씻읍시다,"강남대성학원 모 지점
시바라 왜 그냥 나가는데",https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=251964
3,6,디시인사이드,대성,"서준혁쌤 박쫑느쌤 현정훈쌤(물1) and 대성마이맥 레츠고,,!!","노노메가에요,,!!",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2603667
